"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 13 Garscadden-Scotstounhill",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,
"BOX 279 & 280","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Liz CAMERON","76","30","62","6","2","2","1","0","0","0","0","0","0"
"John CORMACK","5","3","5","3","0","2","0","1","1","1","2","0","0"
"Iain CUMMING","2","4","8","2","1","1","1","3","1","1","0","1","0"
"Graeme Andrew HENDRY","109","30","12","3","2","0","0","0","0","1","2","2","0"
"Phil JARVIS","6","8","8","2","0","1","1","2","1","1","0","1","1"
"John KELLY","57","57","33","8","3","2","0","0","0","0","0","1","0"
"Susan Marion MCCOURT","15","3","3","2","2","3","0","1","1","0","1","0","2"
"Mark MUIR","0","1","5","4","3","2","3","2","1","1","0","1","0"
"Paul ROONEY","9","65","66","14","6","2","0","0","0","0","0","0","0"
"Martin SCHMIERER","12","4","22","14","9","2","2","0","1","1","0","0","0"
"James Douglas SPEIRS","5","4","8","5","3","2","0","0","1","1","1","1","0"
"Ryan STUART","2","3","4","2","2","2","3","1","1","0","0","0","1"
"Donald T WILSON","26","86","10","10","3","0","1","0","0","0","1","0","3"
"BOX 281","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Liz CAMERON","113","42","94","15","6","2","0","0","0","0","0","1","0"
"John CORMACK","10","1","7","3","1","0","0","1","0","0","0","1","1"
"Iain CUMMING","0","2","7","8","0","0","1","0","0","0","1","1","0"
"Graeme Andrew HENDRY","149","45","17","14","8","2","0","1","0","0","0","0","0"
"Phil JARVIS","4","7","7","12","5","3","4","0","1","0","0","0","0"
"John KELLY","71","58","47","13","6","4","1","0","0","1","0","0","0"
"Susan Marion MCCOURT","18","9","7","2","3","2","1","0","1","0","1","0","1"
"Mark MUIR","4","5","4","5","1","6","0","3","0","0","0","0","0"
"Paul ROONEY","19","93","60","17","7","3","1","0","1","0","1","0","0"
"Martin SCHMIERER","30","35","55","13","14","3","3","0","0","1","0","0","0"
"James Douglas SPEIRS","19","17","15","14","8","3","1","2","0","2","1","0","0"
"Ryan STUART","3","4","8","5","5","3","3","0","0","0","0","1","1"
"Donald T WILSON","12","107","25","14","11","3","2","0","1","0","0","0","1"
